Объединение;Склад;Товар (код);Товар;Штрихкод;Бренд;Категория 1;Категория 2;Страна;Физ.доступно, шт.;Заказано, шт.;Резерв, шт.;Кол-во SKU, шт.;Себестоимость (без НДС), руб.;Себестоимость (с НДС), руб.;Себестоимость (без НДС), валюта;Себестоимость (с НДС), валюта
;;;;;;;;;504799;116101;14419;134;296220507;354680919,6;335856823,8;399031428
КЗН Пушкина;117;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;17;0;1;1;12649,11;15178,932;12649,11;15178,932
НСК Красный;118;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;29;0;0;1;20399,58;24479,496;20399,58;24479,496
НСК Красный;108;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;11;0;0;1;7737,77;9285,324;7737,77;9285,324
ЕКБ Пассаж;110;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;27;0;0;1;19216,15;23059,38;19216,15;23059,38
ЕКБ Пассаж;120;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;6;0;0;1;4337,61;5205,132;4337,61;5205,132
ЕКБ Пассаж;110-НИЗ;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;2;0;0;1;1406,87;1688,244;1406,87;1688,244
ЕКБ Большой;111;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;20;0;0;1;14013,49;16816,188;14013,49;16816,188
ЕКБ Большой;119;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;17;0;0;1;11995,65;14394,78;11995,65;14394,78
МСК Кунцево;114;19000043626;Дневной SOS-крем с цветочными экстрактами Salvation Day Cream;7640399230720;OKOLO;Уход;Уход за лицом;Россия;7;0;0;1;4902,63;5883,156;4902,63;5883,156
